time,wx (rad/s),wy (rad/s),wz (rad/s)
0.002213,0.02,-0.05,0.00
0.002861,0.02,-0.05,-0.01
0.003273,0.01,-0.05,-0.01
0.003703,0.01,-0.04,-0.02
0.004014,0.00,-0.04,-0.02
0.008403,0.00,-0.04,-0.03
0.009007,0.00,-0.04,-0.04
0.009438,0.00,-0.04,-0.04
0.009850,0.00,-0.04,-0.05
0.010254,0.00,-0.05,-0.05
0.010867,0.01,-0.05,-0.05
0.019324,0.01,-0.05,-0.04
0.020043,0.01,-0.06,-0.03
0.020485,0.01,-0.06,-0.03
0.020925,0.02,-0.06,-0.02
0.028772,0.02,-0.05,-0.01
0.029533,0.03,-0.04,0.00
0.029926,0.04,-0.03,0.01
0.030613,0.04,-0.02,0.03
0.044695,0.05,-0.01,0.04
0.045168,0.06,0.01,0.05
0.045380,0.07,0.01,0.06
0.045572,0.08,0.02,0.07
0.045763,0.09,0.03,0.09
0.045952,0.10,0.04,0.10
0.047884,0.10,0.05,0.11
0.050031,0.11,0.05,0.13
0.060430,0.12,0.07,0.14
0.061009,0.13,0.08,0.16
0.061214,0.14,0.10,0.17
0.061398,0.15,0.11,0.18
0.062647,0.17,0.13,0.19
0.065567,0.17,0.14,0.20
0.079954,0.19,0.15,0.20
0.080780,0.20,0.15,0.21
0.081224,0.21,0.16,0.21
0.081577,0.22,0.17,0.22
0.081960,0.23,0.18,0.22
0.082351,0.24,0.18,0.22
0.082699,0.25,0.19,0.23
0.089734,0.25,0.19,0.24
0.090628,0.27,0.19,0.24
0.091123,0.28,0.19,0.24
0.114238,0.29,0.19,0.25
0.114956,0.30,0.18,0.25
0.115328,0.30,0.17,0.25
0.115748,0.32,0.16,0.25
0.116140,0.33,0.14,0.25
0.117586,0.34,0.12,0.24
0.119633,0.34,0.10,0.24
0.121680,0.35,0.08,0.24
0.123431,0.35,0.06,0.24
0.125020,0.35,0.03,0.24
0.126640,0.35,0.01,0.23
0.128082,0.34,0.00,0.23
0.129646,0.34,-0.00,0.23
0.130922,0.32,-0.01,0.22
0.132364,0.31,-0.00,0.22
0.134336,0.30,0.00,0.22
0.136020,0.28,-0.00,0.22
0.137547,0.26,0.00,0.22
0.138906,0.23,0.01,0.22
0.139519,0.20,0.01,0.22
0.141732,0.17,0.01,0.21
0.146611,0.14,0.02,0.21
0.147333,0.10,0.01,0.21
0.149178,0.07,0.02,0.21
0.159846,0.03,0.02,0.21
0.160591,-0.01,0.01,0.21
0.160969,-0.04,0.01,0.21
0.161264,-0.08,-0.01,0.20
0.161542,-0.11,-0.03,0.20
0.163039,-0.14,-0.05,0.20
0.165710,-0.17,-0.08,0.19
0.168685,-0.20,-0.10,0.18
0.170722,-0.22,-0.12,0.17
0.176763,-0.25,-0.14,0.16
0.177443,-0.27,-0.16,0.15
0.179058,-0.29,-0.18,0.14
0.181804,-0.31,-0.19,0.12
0.188586,-0.32,-0.21,0.11
0.189204,-0.34,-0.21,0.09
0.189510,-0.35,-0.21,0.07
0.191003,-0.36,-0.21,0.05
0.193515,-0.37,-0.20,0.03
0.196039,-0.38,-0.19,0.01
0.198333,-0.38,-0.18,-0.01
0.201462,-0.38,-0.16,-0.04
0.203356,-0.38,-0.14,-0.06
0.205447,-0.38,-0.12,-0.09
0.208406,-0.37,-0.09,-0.11
0.210546,-0.37,-0.07,-0.13
0.213171,-0.36,-0.04,-0.14
0.218435,-0.35,-0.02,-0.15
0.219539,-0.34,-0.00,-0.16
0.220505,-0.33,0.01,-0.16
0.224729,-0.31,0.01,-0.16
0.225570,-0.30,-0.00,-0.16
0.227823,-0.28,-0.02,-0.16
0.230699,-0.27,-0.04,-0.15
0.233506,-0.25,-0.07,-0.14
0.236527,-0.24,-0.09,-0.14
0.237808,-0.22,-0.11,-0.13
0.240148,-0.20,-0.12,-0.12
0.242092,-0.19,-0.13,-0.11
0.245456,-0.17,-0.13,-0.10
0.246656,-0.16,-0.13,-0.09
0.249372,-0.15,-0.13,-0.08
0.251760,-0.13,-0.12,-0.06
0.254173,-0.12,-0.11,-0.05
0.256670,-0.10,-0.09,-0.03
0.260108,-0.09,-0.07,-0.01
0.262800,-0.08,-0.05,0.00
0.265363,-0.07,-0.03,0.02
0.267848,-0.05,-0.01,0.03
0.270198,-0.04,-0.00,0.05
0.272158,-0.03,-0.01,0.06
0.275150,-0.02,-0.02,0.07
0.278142,-0.02,-0.05,0.07
0.280455,-0.01,-0.08,0.07
0.295464,-0.01,-0.12,0.07
0.296533,-0.01,-0.14,0.06
0.297001,-0.01,-0.17,0.05
0.297385,-0.00,-0.17,0.05
0.297780,0.00,-0.17,0.05
0.298208,0.01,-0.16,0.05
0.298588,0.01,-0.13,0.05
0.299355,0.01,-0.11,0.06
0.303050,0.02,-0.08,0.06
0.304846,0.02,-0.06,0.07
0.307164,0.01,-0.04,0.07
0.309839,0.01,-0.02,0.07
0.312730,0.00,0.01,0.08
0.316636,0.00,0.03,0.08
