time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003079,-0.2602,0.0223,0.2327,0.350
0.003454,-0.3195,0.0876,0.3227,0.463
0.015132,-0.2994,0.0999,0.2980,0.434
0.015576,-0.2684,0.1331,0.2308,0.378
0.015922,-0.2026,0.2205,0.1333,0.328
0.032178,-0.2090,0.3122,-0.0299,0.377
0.032541,-0.2588,0.4065,-0.1680,0.510
0.032782,-0.2928,0.5060,-0.2126,0.622
0.048498,-0.3237,0.6298,-0.1905,0.733
0.049095,-0.3708,0.7729,-0.1354,0.868
0.049465,-0.3699,0.8398,-0.1189,0.925
0.052025,-0.3541,0.8381,-0.1572,0.923
0.055556,-0.2851,0.7632,-0.2427,0.850
0.060458,-0.2464,0.6511,-0.3179,0.765
0.065606,-0.1920,0.5259,-0.3616,0.666
0.073878,-0.2451,0.4162,-0.4333,0.649
0.083815,-0.3158,0.3074,-0.4783,0.650
0.084383,-0.3102,0.1616,-0.4231,0.549
0.085434,-0.2261,0.0119,-0.3304,0.401
0.092349,-0.0952,-0.0917,-0.2145,0.252
0.095266,0.0152,-0.1332,-0.1115,0.174
0.100130,0.0070,-0.1459,-0.0069,0.146
0.104406,-0.0222,-0.1301,0.0684,0.149
0.110283,-0.0893,-0.1072,0.2000,0.244
0.114116,-0.1897,-0.0156,0.2309,0.299
0.132081,-0.3015,0.0733,0.1499,0.345
0.133022,-0.4098,0.1885,-0.0182,0.451
0.133715,-0.3956,0.2255,-0.1875,0.492
0.140158,-0.3476,0.3183,-0.3150,0.567
0.140908,-0.3162,0.3813,-0.4203,0.650
0.164846,-0.3037,0.5452,-0.4773,0.786
0.165829,-0.3035,0.6382,-0.4223,0.823
0.166402,-0.3657,0.6963,-0.2848,0.836
0.166912,-0.4929,0.7527,-0.0938,0.905
0.167430,-0.5998,0.7832,0.1693,1.001
0.177731,-0.7227,0.8280,0.3899,1.166
0.178762,-0.8518,0.8508,0.5637,1.329
0.180573,-0.8699,0.8757,0.6555,1.398
0.184344,-0.8626,0.8292,0.6090,1.343
0.188994,-0.8032,0.7382,0.4964,1.198
0.192842,-0.7891,0.5605,0.3113,1.017
0.198663,-0.7458,0.3831,0.0445,0.840
0.203614,-0.6111,0.2110,-0.2034,0.678
0.208422,-0.3828,0.0090,-0.3971,0.552
0.214053,-0.1841,-0.1374,-0.4683,0.522
0.221675,0.0211,-0.2315,-0.3704,0.437
0.224545,0.2464,-0.3124,-0.2496,0.470
0.228424,0.4505,-0.4188,-0.1132,0.625
0.233714,0.6086,-0.5534,0.0198,0.823
0.255565,0.7044,-0.7260,0.3063,1.057
0.256353,0.8556,-0.9895,0.9257,1.603
0.257027,0.8577,-1.0632,1.3981,1.955
0.257943,0.7662,-1.3621,1.9189,2.475
0.258632,0.3621,-0.8956,2.4806,2.662
0.266926,-0.0096,-0.6269,2.3060,2.390
0.267507,-0.2277,-0.3174,1.9600,1.999
0.285093,-0.2398,-0.1463,1.4329,1.460
0.285859,-0.1097,-0.0222,0.9159,0.923
0.286296,0.0113,-0.0302,0.4519,0.453
0.291292,0.1426,-0.0592,0.0214,0.156
0.291740,0.2478,-0.1915,-0.3948,0.504
0.296212,0.3256,-0.3442,-0.7367,0.876
0.301170,0.4035,-0.5348,-1.0500,1.246
0.306683,0.4902,-0.6997,-1.3465,1.595
0.312275,0.6235,-0.8040,-1.5618,1.864
0.317316,0.7721,-0.8065,-1.7510,2.077
0.332575,0.8767,-0.7856,-1.8998,2.235
0.334409,0.9611,-0.7533,-1.9485,2.300
0.335151,1.0301,-0.6661,-1.9619,2.314
0.339963,0.9925,-0.6251,-1.8704,2.208
0.340879,0.7952,-0.6406,-1.4447,1.769
0.346133,0.5953,-0.5871,-0.9097,1.236
0.367490,0.4402,-0.5138,-0.4449,0.810
0.368305,0.2316,-0.3720,-0.0045,0.438
0.368742,0.0867,-0.2370,0.3685,0.447
0.369108,0.0266,-0.1838,0.5976,0.626
0.371628,0.0630,-0.1767,0.6711,0.697
0.375995,0.0623,-0.1822,0.5533,0.586
0.380855,0.1062,-0.2051,0.3761,0.441
0.386524,0.1907,-0.2357,0.1536,0.340
0.390972,0.3348,-0.2477,-0.0326,0.418
0.395746,0.4501,-0.2745,-0.1299,0.543
0.400126,0.5340,-0.3395,-0.3059,0.703
0.405666,0.5935,-0.4250,-0.4815,0.874
0.410231,0.7066,-0.5039,-0.7117,1.122
0.415024,0.8442,-0.5680,-0.9989,1.426
0.428497,0.9536,-0.6234,-1.3261,1.748
0.429714,1.0258,-0.6526,-1.5620,1.979
