"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.687053980E-1,2.354635990E1,8.728909010E1,1.068427916E2,5.290000153E1,NaN,NaN,6.677330635E-2,1.636599922E1,1.876458526E0,0.000000000E0
2.524408228E0,2.354682002E1,8.728866918E1,1.000041922E2,4.606207275E1,5.500000119E-1,2.289999962E1,6.905685949E-2,8.955202103E0,1.170431519E1,0.000000000E0
3.525408384E0,2.354681549E1,8.728869103E1,1.002618370E2,4.631970215E1,6.000000238E-1,3.220000076E1,7.157766708E-2,6.414613247E0,8.374058723E0,2.400000000E1
4.527717133E0,2.354680118E1,8.728867185E1,9.714599714E1,4.320385742E1,4.900000095E-1,4.250000000E1,7.278172266E-2,5.850711346E0,7.171324730E0,2.600000000E1
5.523512602E0,2.354679266E1,8.728866456E1,9.817163685E1,4.422949219E1,4.499999881E-1,4.470000076E1,7.374562031E-2,4.615048885E0,5.748317719E0,2.700000000E1
6.525329841E0,2.354678407E1,8.728866583E1,9.731330871E1,4.337115479E1,7.099999785E-1,2.620000076E1,7.389535646E-2,3.908916950E0,4.799958706E0,2.800000000E1
7.525219163E0,2.354678274E1,8.728866606E1,9.646894981E1,4.252679443E1,5.699999928E-1,3.429999924E1,7.400255225E-2,3.790092468E0,4.812598228E0,2.800000000E1
8.524214528E0,2.354678319E1,8.728866699E1,9.677559044E1,4.283343506E1,8.500000238E-1,3.770000076E1,7.451022065E-2,3.790092468E0,4.942319393E0,2.800000000E1
9.526724423E0,2.354678763E1,8.728866815E1,9.651398987E1,4.257183838E1,8.299999833E-1,3.420000076E1,7.561349717E-2,3.841585636E0,5.185438156E0,2.800000000E1
1.052508192E1,2.354679691E1,8.728867198E1,9.535877004E1,4.141662598E1,8.899999857E-1,2.700000000E1,7.677139171E-2,3.790092468E0,4.974379539E0,2.800000000E1
1.152406593E1,2.354680621E1,8.728867709E1,9.438635112E1,4.044421387E1,8.799999952E-1,3.200000000E1,7.763722040E-2,3.790092468E0,4.795243263E0,2.800000000E1
1.252654067E1,2.354681219E1,8.728868253E1,9.278588394E1,3.884375000E1,4.900000095E-1,2.329999924E1,7.872128484E-2,3.790092468E0,4.687513351E0,2.700000000E1
1.352654187E1,2.354682126E1,8.728868643E1,9.356096221E1,3.961883545E1,8.299999833E-1,2.679999924E1,8.000698566E-2,3.790092468E0,4.646251202E0,2.700000000E1
1.452604338E1,2.354683086E1,8.728869346E1,9.241471581E1,3.847259521E1,7.300000191E-1,3.189999962E1,8.104756829E-2,3.790092468E0,4.642072678E0,2.700000000E1
1.552540228E1,2.354683580E1,8.728870213E1,9.155143388E1,3.760931396E1,6.700000167E-1,3.440000153E1,8.209391023E-2,3.790092468E0,4.391970634E0,2.600000000E1
1.652566296E1,2.354684052E1,8.728871101E1,9.037113568E1,3.642901611E1,6.700000167E-1,3.490000153E1,8.309391718E-2,3.790092468E0,4.078638554E0,2.600000000E1
1.752556411E1,2.354684501E1,8.728871951E1,9.087430920E1,3.693218994E1,7.900000215E-1,3.350000000E1,8.387946824E-2,3.790092468E0,3.741693735E0,2.700000000E1
1.852644890E1,2.354685029E1,8.728872463E1,9.103446268E1,3.709234619E1,7.200000286E-1,2.579999924E1,8.465250206E-2,3.790092468E0,3.459431648E0,2.700000000E1
1.952773702E1,2.354685541E1,8.728872976E1,9.156693078E1,3.762481689E1,7.099999785E-1,3.100000000E1,8.549972633E-2,3.790092468E0,3.361097097E0,2.700000000E1
