time,I
0.068861,0.00
0.273665,0.00
0.478868,0.00
0.683406,0.00
0.888442,0.00
1.091397,0.00
1.296345,0.00
1.499938,0.00
1.704351,0.00
1.908726,0.00
2.113322,0.00
2.318594,0.00
2.523687,0.00
2.727662,0.00
2.932620,0.00
3.134919,0.00
3.340655,0.00
3.544992,0.00
3.749011,0.00
3.954586,0.00
4.158522,0.00
4.363596,0.00
4.568624,0.00
4.771314,0.00
4.975415,0.00
5.181826,0.00
5.384345,0.00
5.590179,0.00
5.795382,0.00
5.998182,0.00
6.203335,0.00
6.407265,0.00
6.612507,0.00
6.815189,0.00
7.230443,0.00
7.434951,0.00
7.633066,0.00
7.839096,0.00
8.247567,4.04
8.657595,3.92
9.070796,11.55
9.271842,11.55
9.475597,11.55
9.682001,11.55
9.886565,11.55
10.088046,11.55
10.292349,11.55
10.496413,11.55
10.703344,11.55
10.906852,11.55
11.318122,43.20
11.727024,51.89
11.928442,51.89
12.132484,51.89
12.340006,51.89
12.751693,57.30
12.952735,57.30
13.365540,66.21
13.773063,33.60
13.973079,33.60
14.177746,33.60
14.590141,33.48
15.000923,44.39
15.410257,34.77
15.815441,27.27
16.018902,27.27
16.224694,27.27
16.427636,27.27
16.633359,27.27
16.837301,27.27
17.250148,12.25
17.448911,12.25
17.654398,12.25
17.858306,12.25
18.064528,12.25
18.474713,11.90
18.681606,11.90
19.101885,7.09
19.503946,3.57
19.698040,3.57
20.115957,0.00
20.312063,0.00
20.520076,0.00
20.718088,0.00
20.932659,0.00
21.128933,0.00
21.333245,0.00
21.538414,0.00
21.747774,0.00
21.949053,0.00
22.152989,0.00
22.355441,0.00
22.560407,0.00
22.767248,0.00
22.968828,0.00
23.172074,0.00
23.377404,0.00
23.583465,0.00
23.787692,0.00
23.991057,0.00
24.197294,0.00
24.400420,0.00
24.603648,0.00
24.809994,0.00
25.012635,0.00
25.218596,0.00
25.420845,0.00
25.627714,0.00
25.831001,0.00
26.035240,0.00
26.239563,0.00
26.446166,0.00
26.649130,0.00
26.853780,0.00
27.059690,0.00
27.263209,0.00
27.466940,0.00
27.670845,0.00
27.876424,0.00
28.080435,0.00
28.285312,0.00
28.489811,0.00
28.694728,0.00
29.108087,0.00
29.308689,0.00
29.511676,0.00
29.719269,0.00
29.925421,0.00
30.126197,0.00
30.331721,0.00
30.536883,0.00
30.738829,0.00
30.942657,0.00
31.148850,0.00
31.352593,0.00
31.555648,0.00
31.778666,0.00
31.974615,0.00
32.171707,0.00
32.387894,0.00
32.587521,0.00
32.786863,0.00
32.989713,0.00
33.406909,4.51
33.807792,4.51
34.013982,4.51
34.214933,4.51
34.422634,4.51
34.624498,4.51
34.829176,4.51
35.032593,4.51
35.236677,4.51
35.441868,4.51
35.853236,89.19
36.055749,89.19
36.260700,89.19
36.464413,89.19
36.671680,89.19
36.873088,89.19
37.076911,89.19
37.282083,89.19
37.484884,89.19
37.690832,89.19
37.895259,89.19
38.110648,89.19
38.311921,89.19
38.507566,89.19
38.923130,145.30
39.147253,145.30
39.323524,145.30
39.528685,145.30
39.731654,145.30
39.938703,145.30
40.144469,145.30
40.347746,145.30
40.551279,145.30
40.756839,145.30
40.962704,145.30
41.166770,145.30
41.369901,145.30
41.573093,145.30
41.780080,145.30
41.982931,145.30
42.189161,145.30
42.395745,145.30
42.598674,145.30
42.803886,145.30
43.006156,145.30
43.208752,145.30
43.385542,47.58
43.813739,41.81
44.222104,44.15
44.632360,24.94
44.835031,24.94
45.036981,24.94
45.244549,24.94
45.655581,0.00
46.062465,16.49
46.470306,0.00
46.684089,0.00
46.875574,0.00
47.286015,12.97
47.489746,0.00
47.694954,0.00
47.899134,0.00
48.103290,0.00
48.309145,0.00
48.512652,0.00
48.717789,0.00
48.922272,0.00
49.126397,0.00
49.329816,0.00
49.535831,0.00
49.739854,0.00
49.948522,0.00
50.146700,0.00
50.352010,0.00
50.556407,0.00
50.761291,0.00
50.965240,0.00
51.170822,0.00
51.375435,0.00
51.579245,0.00
51.783672,0.00
51.987950,0.00
52.192066,0.00
52.397388,0.00
52.601695,0.00
52.805440,0.00
53.013813,0.00
53.214945,0.00
53.418816,0.00
53.622406,0.00
53.828086,0.00
54.032725,0.00
54.237860,0.00
54.441846,0.00
54.645719,0.00
54.850125,0.00
55.054486,0.00
55.276886,0.00
55.470102,0.00
55.667938,0.00
55.872796,0.00
56.084778,0.00
56.290820,0.00
56.486869,0.00
56.702767,0.00
56.901754,0.00
57.102832,0.00
57.303599,0.00
57.512651,0.00
57.716050,0.00
58.126361,0.00
58.327189,0.00
58.532557,0.00
58.736484,0.00
59.147892,0.00
59.348776,0.00
59.553886,0.00
59.758598,0.00
59.962156,0.00
60.167506,0.00
60.371883,0.00
60.578612,0.00
60.781981,0.00
60.985453,0.00
61.190898,0.00
61.395091,0.00
61.598032,0.00
61.805181,0.00
62.006705,0.00
62.211372,0.00
62.414533,0.00
62.622433,0.00
62.825634,0.00
63.239615,4.05
63.439612,4.05
63.644294,4.05
64.055720,0.00
64.466304,3.11
64.669963,3.11
65.077124,28.45
65.486354,13.20
65.685488,13.20
66.100780,3.35
66.304211,3.35
66.728958,3.70
66.914522,0.00
67.532035,6.40
67.940740,0.00
68.141617,0.00
68.355975,0.00
68.774298,0.00
68.958990,0.00
69.162648,0.00
69.365778,0.00
69.577321,0.00
69.776509,0.00
70.185671,0.00
70.390459,0.00
70.594994,0.00
70.800038,0.00
71.003447,0.00
71.209721,0.00
71.414298,0.00
71.619005,0.00
71.820488,0.00
72.026560,0.00
72.232393,0.00
72.436239,0.00
72.641990,0.00
72.843447,0.00
73.049333,0.00
73.253118,0.00
73.458357,0.00
73.665034,0.00
73.866695,0.00
74.072376,0.00
74.277639,0.00
74.481262,0.00
74.689220,0.00
74.889908,0.00
75.092964,0.00
75.316684,0.00
75.503408,0.00
75.707649,0.00
75.911582,0.00
76.117284,0.00
76.321569,0.00
76.526922,0.00
76.729837,0.00
76.935760,0.00
77.141062,0.00
77.342436,0.00
77.550970,0.00
77.754226,0.00
77.957696,0.00
78.163255,0.00
78.573931,0.00
78.775835,0.00
78.979858,0.00
79.397366,0.00
79.592741,0.00
79.807309,0.00
80.008183,0.00
80.209521,0.00
80.417605,0.00
80.617396,0.00
80.819384,0.00
81.023871,0.00
81.229285,0.00
81.440058,0.00
81.641312,0.00
81.845265,0.00
82.049340,0.00
82.255814,0.00
82.456756,0.00
82.661227,0.00
82.867908,0.00
83.070668,0.00
83.275657,0.00
83.480060,0.00
83.681986,0.00
83.886896,0.00
84.093538,0.00
84.295062,0.00
84.707704,0.00
84.909620,0.00
85.115289,0.00
85.317561,0.00
85.523147,0.00
85.729384,0.00
85.932692,0.00
86.137738,0.00
86.342341,0.00
86.546712,0.00
86.751939,0.00
87.162893,4.99
87.365814,4.99
87.570299,4.99
87.771574,4.99
87.978015,4.99
88.183112,4.99
88.387681,4.99
88.591823,4.99
88.796869,4.99
89.000287,4.99
89.204785,4.99
89.616643,4.99
89.816971,4.99
90.022844,4.99
90.227809,4.99
90.431277,4.99
90.636504,4.99
90.841301,4.99
91.249653,16.49
91.462178,16.49
91.656732,16.49
91.877352,16.49
92.073009,16.49
92.273015,16.49
92.486097,16.49
92.683576,16.49
92.886429,16.49
93.089892,16.49
93.304427,16.49
93.496026,16.49
93.705133,16.49
93.907180,16.49
94.111772,16.49
94.315538,16.49
94.734912,149.76
94.928346,149.76
95.134738,149.76
95.337703,149.76
95.542275,149.76
95.747326,149.76
95.954178,149.76
96.157011,149.76
96.569830,24.94
96.972703,22.59
97.383937,28.92
97.588288,28.92
97.793110,28.92
97.995509,28.92
98.409426,4.51
98.822043,4.04
99.018466,4.04
99.224938,4.04
99.430728,0.00
99.633502,0.00
100.045119,0.00
100.247299,0.00
100.448667,0.00
100.654069,0.00
100.858771,0.00
101.072325,0.00
101.270013,0.00
101.471279,0.00
101.687265,0.00
101.881191,0.00
102.312235,0.00
102.496432,0.00
102.707420,0.00
102.902623,0.00
103.108315,0.00
103.311457,0.00
103.517123,0.00
103.724405,0.00
103.927558,0.00
104.131161,0.00
104.336065,0.00
104.542500,0.00
104.952465,3.31
105.359819,3.31
105.771176,3.32
106.178446,3.33
106.590895,3.45
106.996604,3.75
107.409801,4.01
107.813400,4.14
108.220191,4.21
108.630322,4.46
109.039260,4.36
109.241235,4.36
109.447487,4.36
109.652738,4.36
110.068583,4.36
110.275594,4.36
