time,Bx,By,Bz,BT
0.006603,1.78,29.46,-22.45,37.08
0.007269,1.82,29.57,-22.44,37.16
0.016235,1.73,29.52,-22.39,37.09
0.023566,1.71,29.39,-22.52,37.07
0.038878,1.79,28.95,-22.63,36.79
0.042152,1.82,28.57,-22.86,36.64
0.054215,1.83,28.05,-23.14,36.41
0.068286,1.83,27.80,-23.48,36.44
0.071859,1.78,27.29,-23.83,36.27
0.085293,1.67,27.13,-23.96,36.24
0.091754,1.65,26.77,-24.28,36.17
0.114398,1.56,26.22,-24.40,35.85
0.115148,1.44,26.01,-24.51,35.77
0.121904,1.28,25.82,-24.61,35.69
0.134912,1.18,25.66,-24.75,35.67
0.151808,1.12,25.58,-24.70,35.58
0.152643,1.09,25.45,-24.63,35.43
0.170510,1.13,25.39,-24.81,35.52
0.172121,1.12,25.24,-24.79,35.40
0.185889,1.12,25.51,-24.81,35.61
0.206515,1.18,26.00,-24.68,35.87
0.207397,1.23,26.17,-24.51,35.88
0.217580,1.29,26.45,-24.17,35.85
0.221980,1.32,26.51,-24.11,35.86
0.236255,1.31,26.79,-24.03,36.02
0.251528,1.22,27.00,-23.80,36.01
0.252728,1.20,27.12,-23.67,36.02
0.267195,1.22,27.32,-23.42,36.00
0.273009,1.18,27.18,-23.51,35.96
0.284207,1.20,27.21,-23.48,35.96
0.310357,1.17,27.39,-23.52,36.12
0.311517,1.18,27.39,-23.42,36.06
0.312066,1.16,27.44,-23.42,36.10
0.321969,1.18,27.14,-23.51,35.93
0.332091,1.28,27.18,-23.57,36.00
0.342043,1.28,27.27,-23.69,36.14
0.352207,1.33,27.10,-23.81,36.10
0.367106,1.37,27.05,-23.92,36.14
0.372226,1.35,27.01,-23.89,36.08
0.383408,1.42,26.79,-24.03,36.02
0.391945,1.44,26.80,-23.99,36.00
0.402558,1.56,26.82,-23.92,35.97
0.411862,1.56,26.86,-23.81,35.93
0.422978,1.71,26.79,-23.88,35.93
0.431753,1.74,26.74,-23.79,35.84
0.441901,1.82,26.85,-23.84,35.95
0.452482,1.99,26.74,-23.83,35.87
0.462460,2.09,27.13,-23.66,36.06
0.479045,2.23,27.30,-23.67,36.20
0.484004,2.32,27.35,-23.63,36.22
0.495614,2.45,27.47,-23.56,36.27
0.501965,2.51,27.39,-23.50,36.17
0.511705,2.61,27.54,-23.41,36.24
0.522265,2.74,27.74,-23.28,36.32
0.532321,2.88,27.79,-23.38,36.43
0.542442,2.99,27.93,-23.24,36.45
0.552982,3.11,28.00,-23.24,36.52
0.562744,3.23,28.18,-23.17,36.63
0.577464,3.37,28.32,-23.14,36.73
0.583580,3.53,28.56,-22.97,36.82
0.594284,3.66,28.68,-23.03,36.97
0.602694,3.77,28.41,-23.06,36.79
0.612511,3.87,28.41,-23.08,36.81
0.622770,3.93,28.06,-23.31,36.69
0.632777,3.99,27.88,-23.28,36.54
0.643679,4.05,27.79,-23.45,36.59
0.654022,4.07,27.61,-23.48,36.47
0.662526,4.17,27.60,-23.50,36.48
0.672225,4.23,27.55,-23.31,36.34
